pc,code,ProjectNumber,ProjectLeader,plna1,Division,Participating,ProjectTitle,Sponsor,StartingDate,FinishDate,Extension,Cost,Status,Expertise_1,Expertise_2,Expertise_3,Expertise_4,Expertise_5,Expertise_6,Expertise_7,Expertise_8,Expertise_9,Expertise_10,,,,,,,,
CNP,7,2662,SB,S.Basha,HZC,Nil,Ambient Air Quality And Fly Ash Techability Test For Belcham Site And Groundwater Quality,"Grasim Industries Ltd., Rehla (jharkhand)",44197,44926,,17,ONG,Environmental Science,Air Pollution Control,Water Quality Management,Geology And Hydrogeology,Chemistry And Chemical Analysis,Environmental Engineering,Industrial Processes And Emissions,Statistical Analysis And Data Interpretation,Regulatory Compliance And Permitting,Risk Assessment And Management.,,,,,,,,
CNP,2,2663,RV,R.Vijay,C - SUM,Nil,Preparation Of Terms Of Referance (tor) For State Program Management Unit For Odf - Sustainability Under The Swachh Bharat Mission - Gramin,"State Swachh Bharat Mission - Gramin, Bhopal (m.p.)",44223,44651,,9661,ONG,Swachh Bharat Mission - Gramin Guidelines And Objectives,Program Management And Implementation,Sustainability Strategies,Community Mobilization And Behavior Change Communication,Sanitation Infrastructure And Technology,Monitoring And Evaluation Frameworks,Financial Management And Budgeting,Stakeholder Engagement And Coordination,Legal And Policy And Regulatory Framework,Reporting And Documentation Requirements.,,,,,,,,
CNP,1,2664,SB,S.Basha,HZC,Nil,"Assessment Of Noise And Ambient Air Levels In The Vicinity Of Sbi Data Centre At Gachibowli, Hyderabad","State Bank Of India (sbi), Gachibowli, Hyderabad",44228,44592,,75,ONG,Acoustics,Environmental Science,Air Quality Monitoring,Noise Pollution Control,Data Analysis And Interpretation,Geographic Information Systems,Meteorology And Climatology,Engineering Mechanical,Electrical,Civil,Public Health And Safety,Regulatory compliance and standards (e.g. ISO 14001,OSHA),,,,,
CNP,3,2665,RV,R.Vijay,C-SUM,Nil,"Installation Of 30 Kld Sewage Treatment Plant At Er-1hq, Patna Based On Phytorid Technology (no Use Of Chemical)","Ntpc Ltd, Patna",44244,45016,,30.65,ONG,Phytorid Technology,Sewage Treatment Plant Design,Environmental Engineering,Water Treatment Processes,Wastewater Treatment Processes,Water Quality Analysis,Plant Operation And Maintenance,Project Management,Civil Engineering,Regulatory Compliance And Permitting.,,,,,,,,
CNP,7,2666,PRP,P. R. Pujari,WTMD,Nil,"Assessment Of Annual Mine Closure Plan Of Parsa East And Kanta Basan Coal Block, District: Surguja, Chhattisgarh","Adani Enterprises Ltd., (ael), Surguja (c. G.)",44256,44620,45016,5,ONG,Mining Engineering,Environmental Science,Geology,Hydrology,Soil Science,Land Reclamation,Waste Management,Social Impact Assessment,Legal And Regulatory Compliance,Financial Analysis And Planning.,,,,,,,,
CNP,2,2667,SB,S.Basha,HZC,Nil,"Assessment Of Contamination And Preparation Of Remediation Plan For Taanam Cheruvu Taanam Village, Visakhapatnam","Appcb, Visakhapatnam",44197,44926,45107,2 9,ONG,Environmental Science,Soil Science,Water Quality Analysis,Geology,Hydrology,Chemistry,Toxicology,Environmental Engineering,Risk Assessment,Remediation Technologies,,,,,,,,
TSP,2,2668,GRK,G. R.Kale,CHWMD,Nil,"Technical Vetting Of Msw Processing Projects Undertaken By Ahmednagar Municipal Corporation (amc), Ahmednagar","Ahmednagar Municipal Corporation, Ahmednagar",44287,44651,45016,10,ONG,Waste Management,Municipal Solid Waste Msw Processing,Environmental Engineering,Chemical Engineering,Mechanical Engineering,Electrical Engineering,Project Management,Financial Analysis,Legal Compliance,Public Policy And Governance.,,,,,,,,
CNP,3,2669,SKS,S.K.Singh,SEAF,Nil,"Ecological Restoration On Barren Manganese Mine Spoil Dump At Gumgaon Manganese3 Mine, Moil Limited, Nagpur, Maharastra, India","Moil Ltd, Nagpur",44270,45365,,1 84,ONG,Ecological Restoration,Mining And Mineral Extraction,Soil Science,Plant Ecology,Environmental Engineering,Water Management,Wildlife Conservation,Sustainable Development,Geographic Information Systems,Community Engagement And Participation,,,,,,,,
CNP,4,2670,SK,S. Kumar,WRD,Nil,"Inspection Report Of Smart City Sites For Compliance Of C & D Waste Rules, 2016","Manglore Smart City Ltd., Mangalore (karnataka)",44287,44651,44834,5,ONG,Smart City Development And Planning,Waste Management And Disposal,Environmental Regulations And Compliance,Construction And Demolition Waste Management,Site Inspection And Assessment,Pubic Health And Safety,Project Management,Data Analysis And Reporting,Communication And Stakeholder Engagement,Legal And Regulatory Compliance.,,,,,,,,
,7,2671,PRP,P.R.Pujari,WTMD,Nil,"Petrographic Study Around 10 Km Radius Of Tata Steel Bsl, At Meramandi, Odisha","Tata Steel Bsl Ltd., Dhenkanal (odisha)",44197,44926,45107,2 75,ONG,Petrography,Mineralogy,Geology,Petrology,Geochemistry,Sedimentology,Stratigraphy,Structural Geology,Remote Sensing,Gis Geographic Information System,,,,,,,,
CNP,1,2672,SB,S. Basha,HZC,Nil,Air Pollution Andsource Apportionment Study Due To Visakhapatnam Port Operations At Visakhapatnam Port Trust,"Visakhapatnam Port Trust, Visakhapatnam (a. P.)",44197,45291,,63,ONG,Environmental Science,Air Quality Monitoring,Atmospheric Chemistry,Industrial Emissions,Air Pollution And Its Effects On Human Health,Statistical Analysis,Geographic Information Systems,Meteorology,Environmental Policy And Regulations,Risk Assessment And Management.,,,,,,,,
GAP,1,2673,PKN,P.K. Naoghare,EISD,Nil,Synthesis And Characterization Of New Emerging Nanomaterials And Tools For Evaluating Impact On Human Health And Environmental Risks,"Department Of Science And Technology (dst), New Delhi",44278,45345,,5 0368,ONG,Nanomaterials Synthesis Techniques,Nanomaterials Characterization Techniques,Environmental Risk Assessment,Human Health Risk Assessment,Toxicology,Biocompatibility,Material Science,Chemistry,Physics,Environmental Science,,,,,,,,
CNP,2,2674,MSK,M.S.Kumar,EISD,Nil,"Carrying Capacity Study For Critically Polluted Areas (cpas), Severely Polluted Areas (spas) & Other Polluted Areas (opas) Listed Under Comprehensive Environmental Pollution Index (cepi) In Maharastra Namely: Chandrapur, Dombivali, Chembur, Pimpari - Chin","Maharastra Pollution Control Board (mpcb), Mumbai",44287,45382,,101 43,ONG,Environmental Science,Ecology,Water Quality Management,Pollution Control,Hydrology,Environmental Engineering,Geology,Nil,Nil,Nil,,,,,Air Quality Management,,Waste Management,Sustainable Development
CNP,2,2675,MSK,M.S.Kumar,EISD,Nil,Carrying Capacity Study For Non Attainment Cities Nagpur & Navi Mumbai In The State Of Maharastra,"Maharastra Pollution Control Board (mpcb), Mumbai",44287,45382,,640,ONG,Environmental Science,Urban Planning,Transportation Engineering,Air Quality Management,Water Resource Management,Waste Management,Demography,Geographic Information Systems,Climate Change Adaptation And Mitigation,Sustainable Development,,,,,,,,
CNP,7,2676,ANV,"A. N. Vaidya, A. R. Kumar",CHWMD,Nil,Providing Technical Services And Compliance Monitoring During The Full Scale Soil Remediation At The Mercury Contaminated Closed Thermometer Factory Site Of Hindustan Unilever Ltd. In Kodaikanal,"Hindustan Unilever Ltd. (hul), Kodaikanal (tn)",44317,45777,,135,ONG,Environmental Engineering,Soil Science,Chemistry,Toxicology,Geology,Hydrology,Risk Assessment,Project Management,Regulatory Compliance,Health And Safety.,,,,,,,,
CNP,7,2677,SB,S. Basha,HZC,Nil,"Preparation Of The Action Plan For Improvement Of Groundwater In The Village Surrounding Grasim Chemical Division, Grasim Staple Fibre Division And Lanxess India Private Limited","Grasim Industries Ltd., Nagda (m. P.)",44228,45322,,3 5,ONG,Groundwater Hydrology,Water Quality Analysis,Environmental Engineering,Chemical Engineering,Geology And Geophysics,Agricultural Practices And Irrigation,Community Engagement And Participation,Policy And Regulatory Frameworks,Project Management And Implementation,Monitoring And Evaluation Techniques.,,,,,,,,
CNP,1,2678,SB,S. Basha,HZC,Nil,"Assessment Of Ambient Air Quality And Impacts Due To Sinter Plant At Rci, Hyderabad","Research Centre Imarat, Hyderabad",44197,44926,,1 5,ONG,Air Quality Monitoring Techniques,Environmental Impact Assessment,Sinter Plant Operations And Processes,Air Pollution Control,Air Pollution And Its Effects On Human Health,Statistical Analysis And Data Interpretation,Regulatory Framework For Air Quality Management,Risk Assessment And Management,Environmental Law And Policy,Stakeholder Engagement And Communication.,,,,,,,,
CNP,2,2681,SB,S. Basha,HZC,Nil,Preliminary Assessment Of Environmental Status At Eluru Immediate After The Outbreak,"A. P. Pollution Control Board, Visakhapatnam",44197,44651,,75,ONG,Environmental Science,Water Quality Analysis,Air Quality Analysis,Soil Analysis,Public Health,Epidemiology,Toxicology,Waste Management,Environmental Law And Policy,Risk Assessment And Management,,,,,,,,
TSP,7,2682,NL/RW,"N. Labhasetwar ,R. Wathore",ERMD,Nil,"Technical Services For Environmental Monitoring, Testing Of Devices And Resource Assessment.",Various Industries And Other Clients,44343,45438,,10,ONG,Environmental Science,Chemistry,Physics,Data Analysis And Statistics,Quality Assurance And Control,Regulatory Compliance And Standards,Geographic Information Systems,Renewable Energy Technologies,Industrial Hygiene And Occupational Health,Project Management And Planning.,,,,,,,,
CNP,3,2683,SB,S. Basha,HZC,Nil,"Impact Assessment Study On Heritage / Archelogical Site Ramappa Temple Due To Proposed Ktk Oc- Iii And Pvnr (venkatapur) Opencast Mines Of Sccl,bhandradri Kothagudem,(telangana)","Singareni Collieries Company Ltd, Bhandradri Kothagudem,(telangana)",44256,44985,45230,36,ONG,Heritage Conservation And Management,Archaeology And Cultural Heritage,Environmental Impact Assessment,Mining And Mineral Extraction,Geology And Geotechnical Engineering,Socio-economic Impact Assessment,Land Use Planning And Management,Legal And Policy And Regulatory Frameworksfor Heritage Protection,Tourism And Heritage Site Management,Stakeholder Engagement And Community Participation.,,,,,,,,
GAP,2,2684,SB,S. Basha,HZC,Nil,Amatement Of Pollution To The Drain To Water Bodies And River Musi In Hyderabad - Implementation Of In - Situ Remediation Using Reneu And Phytorid Technology Of Neeri - Preparation Of Dprs For 5 Lakes Of Hyderabad,"Hmwssb, Khairatabad, Hyderabad",44013,44926,,25,ONG,Environmental Science,Water Pollution Control,Water Quality Management,Hydrology,Environmental Engineering,Remediation Technologies,Phyto-remediation,Environmental Impact Assessment,Project Management,Urban Planning And Development,,,,,,,,
CNP,7,2685,ANV,A. N. Vaidya,CHWMD,Nil,Assessment Of Characteristics And Management Of Bath Material In Aluminium Production,"Hindalco Industries Ltd., Singrauli (m. P.)",44317,44681,45016,15,ONG,Chemical Engineering,Materials Science,Metallurgy,Process Engineering,Industrial Chemistry,Environmental Science,Quality Control,Statistical Analysis,Supply Chain Management,Project Management,,,,,,,,
CNP,7,2686,ANV,A. N. Vaidya,CHWMD,Nil,Study On Spl Carbon & Refractory Portions - Development Of Applications And Obtaining Cpcb Approvalof Sops,"Hindalco Industries Ltd., Singrauli (m.p.)",44317,44681,45016,23,ONG,Carbon Chemistry,Refractory Materials,Industrial Processes,Environmental Regulations,Chemical Engineering,Quality Control,Material Science,Analytical Chemistry,Project Management,Regulatory Compliance.,,,,,,,,
CNP,2,2687,NG/SAT,"N. Goyal,S. A. Tandon",MZC,Nil,"Updating Eia Report And Preparation, Follow-up & Obtaining Forest Clearance For Mumbai Metro Line-5 (thana- Bhiwandi-kalyan) & 6 Line 6 (swami Samarth Nagar-jvlr-seepz-kanjurmarg-vikhroli)","Mmrda, Mumbai",44348,44926,,40,ONG,Environmental Impact Assessment,Forest Conservation Act And Related Regulations,Transportation Planning And Engineering,Urban Planning And Development,Environmental Science And Ecology,Air And Water Quality Monitoring And Management,Noise Pollution Monitoring And Management,Stakeholder Engagement And Community Outreach,Project Management And Coordination,Legal And Regulatory Compliance.,,,,,,,,
CNP,1,2689,"SK,PVN","S.Kumar, P. V. Nidheesh",EISD,EISD,Preparation Of Environmental Impact Assessment Report For Kalpasar Dam,"National Centre For Coastal Research (nccr), Chennai",44378,45473,,38 46,ONG,Environmental Science,Hydrology And Water Resources,Geology And Geotechnical Engineering,Coastal Engineering And Oceanography,Environmental Law And Policy,Environmental Impact Assessment Methodology,Environmental Monitoring And Data Analysis,Socio-economic Impact Assessment,Risk Assessment And Management,Project Management And Planning.,,,,,,,,
CNP,7,2690,SPG,S. P. Ghuge,EISD,EISD,Quantitative Risk Assessment Study For Ammonia Storage At Coromandel International Limited Visakhapatnam,"Coromandel International Limited, Visakhapatnam",44378,45473,,10,ONG,Chemical Engineering,Industrial Safety,Risk Management,Process Safety,Hazard Analysis,Ammonia Storage And Handling,Environmental Impact Assessment,Emergency Response Planning,Regulatory Compliance,Statistical Analysis And Modeling.,,,,,,,,
CNP,2,2691,"KK, NG","K. Kalawapudi, N. Goyal",MZC,ESDMO,"Assessment Of Water, Soil And Sludge Quality Of Mithi River","Municipal Corporation Of Greater Mumbai (mcgm), Mumbai",44228,44681,44865,2 66,ONG,Water Quality Assessment,Soil Quality Assessment,Sludge Quality Assessment,Environmental Science,Chemistry,Microbiology,Hydrology,Geology,Pollution Control,Environmental Engineering,,,,,,,,
CNP,2,2692,BPSR,B. P. S. Rao,EA & PD,Nil,"Assessment Of Air Polution Control (apc) System And Recommendation For Its Improvement/ New Technology, If Any For Vaikunth Smashan - Bhumi,",Pune Municipal Corporation,44390,44754,45291,1 15,ONG,Air Pollution Control,Environmental Regulations And Compliance,Chemical Engineering And Process Design,Emissions Monitoring And Testing,Public Health And Safety,Energy Efficiency And Sustainability,Waste Management And Disposal,Air Quality Modeling,Project Management,Nil,,,,,,,,
CNP,7,2693,SB,S.Basha,"HZC, EAPD",EM,Assessment Of Emissions From Rain Cii Carbon (vizag) Ltd. (''rain'') At Dta And Apsez Units At Visakhapatnam,"Rain Cii Carbon (vizag) Ltd. (''rain''), Visakhapatnam",44378,45107,,1 75,ONG,Environmental Science,Chemical Engineering,Air Pollution Control,Industrial Emissions Monitoring,Environmental Impact Assessment,Atmospheric Chemistry,Environmental Law And Regulations,Sustainable Development,Climate Change Adaptation And Mitigation,Corporate Social Responsibility.,,,,,,,,
CNP,7,2694,SB,S.Basha,HZC,EM,Hydrogeological Studies Of Rajasthan Waste Management Project (rwmp) And Balotra Waste Management Project (bwmp)'' Rajasthan,"Ramky Enviro Engineering Ltde, Ramky",44378,45107,,1 5,ONG,Hydrogeology,Waste Management,Environmental Engineering,Geology,Water Resources Management,Groundwater Modeling,Soil Science,Environmental Impact Assessment,Land Use Planning,Geographic Information Systems,,,,,,,,
CNP,7,2695,PL,P.Labhsetwar,WTMD,Nil,Evaluation Of Efficancy Of Pristine Make Silver Ionization System For Disinfection Of Water,Pristine Water,44392,45121,,1 7,ONG,Water Treatment Technologies,Microbiology And Waterborne Pathogens,Chemistry Of Silver Ionization,Water Quality Testing And Analysis,Environmental Pubic Health And Safety,Statistical Analysis And Data Interpretation,Research Methodology And Experimental Design,Quality Control And Assurance,Project Management And Planning,Technical Writing And Communication Skills.,,,,,,,,
CNP,7,2696,SB,S.Basha,HZC,EM,"Assessment Of Odour And Vocs Within Work Zone Of Deccan Fine Chemicals Manufacturing Facility At Tuni, Andhra Pradesh",Deccan Fine Chemicals (india) Pvt. Ltd,44378,45107,,75,ONG,Odor And Vocs Measurement Techniques,Chemical Engineering,Environmental Regulations And Compliance,Industrial Hygiene And Safety Practices,Air Quality Monitoring And Analysis,Hazardous Materials Management,Process Engineering And Optimization,Statistical Analysis And Data Interpretation,Risk Assessment And Management,Communication And Stakeholder Engagement.,,,,,,,,
CNP,2,2426,"AK, HB","A. Kapley, H. Bherwani",DRC,Nil,Enhanced Natural Attenuation For In-situ Nallah Treatment (part A),"State Mission For Clean Ganga, Allahabad (u.p.)",43466,44561,44926,87 54237,ONG,Environmental Science,Hydrogeology,Microbiology,Chemistry,Geology,Water Resource Management,Soil Science,Bioremediation,Environmental Engineering,Pollution Control And Prevention,,,,,,,,
